"Monitoring_Site","Date","Temperature_C"
"309DAV",2011-08-10,18.43
"309SAC",2011-08-30,20.2
"309SAG",2011-08-30,21.25
"309BLA",2011-08-31,19.3
"309SSP",2011-08-31,19.85
"309DAV",2011-09-14,17.995
"309SAC",2011-09-27,23.65
"309SAG",2011-09-27,24.8
"309BLA",2011-09-28,29
"309SSP",2011-09-28,28.05
"309DAV",2011-10-13,18.835
"309SAC",2011-10-25,19.9
"309SAG",2011-10-25,18.8
"309BLA",2011-10-26,21.65
"309SSP",2011-10-26,21.9
"309DAV",2011-11-02,12.275
"309SAC",2011-11-15,17.85
"309SAG",2011-11-15,18.15
"309BLA",2011-11-16,17.1
"309SSP",2011-11-16,15.7
"309DAV",2011-12-07,3.445
"309SAC",2011-12-13,12
"309SAG",2011-12-13,12.65
"309BLA",2011-12-14,12
"309SSP",2011-12-14,11.85
"309DAV",2012-01-10,11.83
"309SAC",2012-01-10,12.245
"309SBR",2012-01-10,10.39
"309SAC",2012-01-24,14.95
"309BLA",2012-01-25,16.9
"309SAC",2012-02-07,13.045
"309SAG",2012-02-07,13.045
"309SSP",2012-02-07,14.645
"309BLA",2012-02-08,17.05
"309DAV",2012-02-08,15.685
"309SAC",2012-02-08,12.67
"309SBR",2012-02-08,14.325
"309DAV",2012-02-28,11.175
"309SAC",2012-02-28,9.625
"309DAV",2012-03-07,13.215
"309SBR",2012-03-07,11.885
"309SAC",2012-03-27,16.1
"309SAG",2012-03-27,17.85
"309BLA",2012-03-28,18.75
"309SSP",2012-03-28,19.85
"309DAV",2012-04-04,13.155
"309SAC",2012-04-04,12.42
"309SBR",2012-04-04,13.615
"309SAC",2012-04-24,24.1
"309BLA",2012-04-25,19.8
"309DAV",2012-05-02,14.995
"309SAC",2012-05-02,14.34
"309SBR",2012-05-02,13.71
"309-SALIN-32",2012-05-05,17.3
"309-SALIN-33",2012-05-05,18.25
"309SAC",2012-05-29,21.85
"309SAG",2012-05-29,22.2
"309BLA",2012-05-30,19.05
"309SSP",2012-05-30,20.65
"309DAV",2012-06-12,25.065
"309SAC",2012-06-12,26.31
"309SBR",2012-06-12,26.83
"309SAC",2012-06-26,22.3
"309SAG",2012-06-26,23.15
"309BLA",2012-06-27,20.45
"309SSP",2012-06-27,23.4
"309DAV",2012-07-11,27.245
"309SAC",2012-07-11,27.53
"309SBR",2012-07-11,22.875
"309DAV",2012-07-19,23.0297222222222
"309DAV",2012-07-20,22.5185416666667
"309DAV",2012-07-21,22.8779166666667
"309DAV",2012-07-22,20.8984615384615
"309DAV",2012-07-23,27.875
"309SAC",2012-07-23,21.23
"309SAC",2012-07-24,22.35
"309BLA",2012-07-25,18.6
"309DAV",2012-08-08,26.82
"309SAC",2012-08-08,24.014375
"309SBR",2012-08-08,23.24
"309SAC",2012-08-09,21.8652083333333
"309SAC",2012-08-10,21.5664583333333
"309SAC",2012-08-11,21.66875
"309SAC",2012-08-12,21.9
"309SAC",2012-08-13,21.9879166666667
"309SAC",2012-08-14,22.0204166666667
"309SAC",2012-08-15,21.5582857142857
"309SAC",2012-08-28,25.6
"309BLA",2012-08-29,22.8
"309DAV",2012-09-05,21.42
"309SAC",2012-09-05,19.79
"309DAV",2012-09-13,26.015
"309SAC",2012-09-13,24.97
"309SBR",2012-09-13,23.11
"309SAC",2012-09-25,19.9
"309SAG",2012-09-25,20.61
"309BLA",2012-09-26,19.7
"309SSP",2012-09-26,21.95
"309DAV",2012-10-11,17.395
"309SAC",2012-10-11,17.54
"309SBR",2012-10-11,18.46
"309SAC",2012-10-30,19.7
"309BLA",2012-10-31,18.2
"309DAV",2012-11-06,24.195
"309SBR",2012-11-06,22.105
"309SAC",2012-11-27,16.5
"309SAG",2012-11-27,14
"309BLA",2012-11-28,16.75
"309SSP",2012-11-28,16.3
"309SAC",2012-12-03,15.2
"309BLA",2012-12-04,17.1
"309DAV",2012-12-05,13.31
"309SAC",2012-12-05,13.3
"309SBR",2012-12-05,13.46
"309DAV",2013-01-22,8.125
"309SAC",2013-01-29,11.5
"309BLA",2013-01-30,11.95
"309DAV",2013-02-19,16.22
"309SAC",2013-02-26,16
"309SAG",2013-02-26,15.1
"309BLA",2013-02-27,13.8
"309SSP",2013-02-27,19.9
"309DAV",2013-03-18,15.91
"309SAC",2013-03-26,17.7
"309SAG",2013-03-26,16.4
"309BLA",2013-03-27,22.55
"309SSP",2013-03-27,19.25
"309DAV",2013-04-23,17.165
"309SAC",2013-04-23,18.95
"309BLA",2013-04-24,19
"309-SALIN-32",2013-05-04,18.35
"309-SALIN-33",2013-05-04,18.5
"309DAV",2013-05-21,20.575
"309SAC",2013-05-28,24.7
"309SAG",2013-05-28,23.95
"309BLA",2013-05-29,20.8
"309SSP",2013-05-29,23.45
"309DAV",2013-06-11,20.25
"309DAV",2013-06-18,21.675
"309SSP",2013-06-25,26.75
"309BLA",2013-06-26,24.0066666666667
"309SALDDM",2013-06-26,21.96
"309SALUBD",2013-06-26,23.17
"309DAV",2013-07-24,21.945
"309SAC",2013-07-30,20.3
"309SAG",2013-07-30,21.5
"309BLA",2013-07-31,18.85
"309SSP",2013-07-31,21.7
"309DAV",2013-08-14,26.54
"309BLA",2013-08-28,23.35
"309SSP",2013-08-28,25.2
"309DAV",2013-09-18,20.045
"309SAC",2013-09-24,21.45
"309SAG",2013-09-24,19.2
"309BLA",2013-09-25,17.05
"309SSP",2013-09-25,18.45
"309DAV",2013-10-17,15.34
"309SAG",2013-10-29,14.1
"309BLA",2013-10-30,16.35
"309SSP",2013-10-30,18.1
"309DAV",2013-11-18,12.145
"309SSP",2013-11-19,18.2
"309BLA",2013-11-20,17.95
"309SAG",2013-12-10,11.2
"309BLA",2013-12-11,12.15
"309DAV",2013-12-11,9.565
"309SSP",2013-12-11,11
"309BLA",2014-01-29,16.55
"309DAV",2014-01-29,17.03
"309SSP",2014-01-29,17.9
"309DAV",2014-02-19,17.355
"309SAC",2014-02-27,15.4
"309SAG",2014-02-27,15
"309BLA",2014-02-28,13.5
"309SSP",2014-02-28,15.1
"309DAV",2014-03-19,15.83
"309SAC",2014-03-25,16.7
"309SAG",2014-03-25,16.5
"309SSP",2014-03-25,18.7
"309BLA",2014-03-26,13.35
"309DAV",2014-04-09,15.86
"309SAC",2014-04-28,18.7
"309SAG",2014-04-28,17
"309SSP",2014-04-29,25.1
